"#2023/05/02 07:22:34,Optimal"
2,0,8
2,1,8
2,2,8
2,3,10
2,4,8
2,5,8
2,6,8
2,7,8
2,8,8
2,9,10
2,10,10
2,11,8
2,12,8
2,13,8
2,14,8
2,15,8
2,16,8
2,17,10
2,18,8
2,19,8
2,20,8
2,21,8
2,22,8
2,23,10
2,24,10
2,25,8
2,26,8
2,27,8
2,28,8
2,29,8
4,0,8
4,1,8
4,2,8
4,3,10
4,4,8
4,5,8
4,6,8
4,7,8
4,8,8
4,9,10
4,10,10
4,11,8
4,12,8
4,13,8
4,14,8
4,15,8
4,16,8
4,17,10
4,18,8
4,19,8
4,20,8
4,21,8
4,22,8
4,23,10
4,24,10
4,25,8
4,26,8
4,27,8
4,28,8
4,29,8
5,0,8
5,1,8
5,2,8
5,3,10
5,4,8
5,5,8
5,6,8
5,7,8
5,8,8
5,9,10
5,10,10
5,11,8
5,12,8
5,13,8
5,14,8
5,15,63
5,16,8
5,17,10
5,18,8
5,19,8
5,20,8
5,21,8
5,22,8
5,23,10
5,24,10
5,25,8
5,26,8
5,27,8
5,28,8
5,29,8
7,0,8
7,1,8
7,2,8
7,3,10
7,4,8
7,5,8
7,6,8
7,7,8
7,8,8
7,9,10
7,10,10
7,11,8
7,12,8
7,13,8
7,14,8
7,15,8
7,16,8
7,17,10
7,18,8
7,19,8
7,20,8
7,21,8
7,22,8
7,23,10
7,24,10
7,25,8
7,26,8
7,27,8
7,28,8
7,29,8
8,0,8
8,1,8
8,2,8
8,3,10
8,4,8
8,5,8
8,6,8
8,7,8
8,8,8
8,9,10
8,10,10
8,11,6
8,12,7
8,13,8
8,14,8
8,15,8
8,16,8
8,17,10
8,18,8
8,19,8
8,20,8
8,21,8
8,22,8
8,23,10
8,24,10
8,25,8
8,26,8
8,27,8
8,28,6
8,29,7
8,30,63
9,0,8
9,1,8
9,2,8
9,3,10
9,4,8
9,5,8
9,6,8
9,7,8
9,8,8
9,9,10
9,10,10
9,11,8
9,12,8
9,13,8
9,14,8
9,15,8
9,16,8
9,17,10
9,18,8
9,19,8
9,20,8
9,21,8
9,22,8
9,23,10
9,24,10
9,25,8
9,26,8
9,27,8
9,28,8
9,29,8
10,0,8
10,1,8
10,2,8
10,3,10
10,4,63
10,5,8
10,6,8
10,7,8
10,8,8
10,9,3
10,10,10
10,11,8
10,12,8
10,13,8
10,14,8
10,15,8
10,16,8
10,17,10
10,18,8
10,19,8
10,20,8
10,21,8
10,22,10
10,23,10
10,24,10
10,25,8
10,26,8
10,27,8
10,28,8
10,29,8
11,0,8
11,1,10
11,2,6
11,3,7
11,4,8
11,5,8
11,6,8
11,7,8
11,8,8
11,9,10
11,10,10
11,11,8
11,12,8
11,13,6
11,14,7
11,15,8
11,16,8
11,17,10
11,18,8
11,19,8
11,20,8
11,21,8
11,22,8
11,23,10
11,24,10
11,25,8
11,26,8
11,27,6
11,28,7
11,29,8
12,0,8
12,1,8
12,2,8
12,3,10
12,4,8
12,5,4
12,6,7
12,7,8
12,8,8
12,9,10
12,10,10
12,11,8
12,12,8
12,13,8
12,14,8
12,15,8
12,16,8
12,17,10
12,18,8
12,19,8
12,20,8
12,21,8
12,22,8
12,23,10
12,24,10
12,25,8
12,26,8
12,27,8
12,28,4
12,29,7
13,0,8
13,1,8
13,2,8
13,3,10
13,4,8
13,5,8
13,6,8
13,7,8
13,8,8
13,9,10
13,10,10
13,11,8
13,12,8
13,13,8
13,14,8
13,15,8
13,16,8
13,17,10
13,18,8
13,19,8
13,20,8
13,21,8
13,22,8
13,23,10
13,24,10
13,25,8
13,26,8
13,27,8
13,28,8
13,29,8
14,0,41
14,1,8
14,2,8
14,3,10
14,4,8
14,5,8
14,6,8
14,7,8
14,8,8
14,9,10
14,10,10
14,11,8
14,12,8
14,13,8
14,14,8
14,15,8
14,16,8
14,17,10
14,18,8
14,19,8
14,20,8
14,21,63
14,22,63
14,23,10
14,24,10
14,25,8
14,26,8
14,27,8
14,28,8
14,29,8
15,0,8
15,1,8
15,2,8
15,3,10
15,4,8
15,5,8
15,6,8
15,7,63
15,8,8
15,9,10
15,10,6
15,11,7
15,12,63
15,13,8
15,14,8
15,15,8
15,16,8
15,17,10
15,18,8
15,19,8
15,20,63
15,21,8
15,22,8
15,23,2
15,24,10
15,25,10
15,26,10
15,27,8
15,28,8
15,29,8
16,0,8
16,1,8
16,2,8
16,3,10
16,4,8
16,5,8
16,6,8
16,7,8
16,8,8
16,9,10
16,10,10
16,11,8
16,12,8
16,13,8
16,14,8
16,15,8
16,16,8
16,17,10
16,18,8
16,19,8
16,20,8
16,21,8
16,22,8
16,23,10
16,24,10
16,25,8
16,26,8
16,27,8
16,28,8
16,29,8
17,0,8
17,1,8
17,2,8
17,3,10
17,4,8
17,5,8
17,6,8
17,7,8
17,8,8
17,9,3
17,10,10
17,11,8
17,12,10
17,13,10
17,14,8
17,15,8
17,16,8
17,17,3
17,18,8
17,19,8
17,20,8
17,21,8
17,22,8
17,23,10
17,24,10
17,25,8
17,26,8
17,27,8
17,28,8
17,29,8
18,0,63
18,1,8
18,2,8
18,3,10
18,4,8
18,5,8
18,6,8
18,7,8
18,8,8
18,9,10
18,10,3
18,11,8
18,12,8
18,13,8
18,14,8
18,15,8
18,16,8
18,17,10
18,18,8
18,19,8
18,20,8
18,21,8
18,22,8
18,23,3
18,24,10
18,25,10
18,26,10
18,27,8
18,28,8
18,29,8
19,0,8
19,1,8
19,2,63
19,3,10
19,4,8
19,5,8
19,6,8
19,7,8
19,8,8
19,9,10
19,10,10
19,11,8
19,12,8
19,13,8
19,14,8
19,15,8
19,16,63
19,17,10
19,18,8
19,19,8
19,20,8
19,21,63
19,22,8
19,23,10
19,24,10
19,25,8
19,26,8
19,27,8
19,28,8
19,29,8
19,30,63
20,0,8
20,1,8
20,2,10
20,3,10
20,4,8
20,5,8
20,6,8
20,7,8
20,8,8
20,9,8
20,10,10
20,11,8
20,12,8
20,13,8
20,14,8
20,15,8
20,16,10
20,17,10
20,18,8
20,19,8
20,20,8
20,21,8
20,22,8
20,23,8
20,24,10
20,25,8
20,26,8
20,27,8
20,28,8
20,29,8
22,0,7
22,1,8
22,2,8
22,3,10
22,4,8
22,5,8
